model_name,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
hist_gradient_boosting,172821.99831652996,408271.4571476724,0.5596216058966612,354368.96275518055,583415.682949031,0.14881846951383593
random_forest,177057.94889828897,388328.95258595137,0.6015924971227495,291184.3549565463,495961.00528042956,0.3848782888530542
linear_regression,204111.92726220013,391660.65685342473,0.5947268223317705,289671.4043382838,449685.54494549247,0.4943106029397426
ridge_regression,222610.47499227768,464836.3467201541,0.4291419570125167,299673.2996978399,520521.86594960606,0.3224459451024628
baseline_dummy_median,311676.60104438645,667225.0910869049,-0.17617706085218976,337904.9945866142,695838.2847758478,-0.21082849365633916
